======================================================================
Experiment Log: CCAP-Net on SEED
Start Time: 2026-01-14 20:05:33
======================================================================


======================================================================
SEED Session 1 Training Start
======================================================================
Training subject 1/15, Session 1, Dataset SEED
[2026-01-14 20:23:13] Epoch  690/1200 | Loss: 1.6365 (PIL: 0.0171, Trans: 1.6194) | Src Acc: 100.00% | Tgt Acc: 68.71%
[2026-01-14 20:23:27] Epoch  700/1200 | Loss: 1.7101 (PIL: 0.0524, Trans: 1.6577) | Src Acc: 99.98% | Tgt Acc: 71.66%
[2026-01-14 20:23:41] Epoch  710/1200 | Loss: 1.6879 (PIL: 0.0305, Trans: 1.6574) | Src Acc: 99.95% | Tgt Acc: 73.01%
[2026-01-14 20:23:56] Epoch  720/1200 | Loss: 1.7039 (PIL: 0.0496, Trans: 1.6542) | Src Acc: 100.00% | Tgt Acc: 65.94%
[2026-01-14 20:24:10] Epoch  730/1200 | Loss: 1.7335 (PIL: 0.0658, Trans: 1.6678) | Src Acc: 100.00% | Tgt Acc: 69.80%
[2026-01-14 20:24:24] Epoch  740/1200 | Loss: 1.7210 (PIL: 0.0727, Trans: 1.6484) | Src Acc: 99.89% | Tgt Acc: 70.92%
[2026-01-14 20:24:37] Epoch  750/1200 | Loss: 1.7262 (PIL: 0.0544, Trans: 1.6718) | Src Acc: 99.97% | Tgt Acc: 70.68%
[2026-01-14 20:24:51] Epoch  760/1200 | Loss: 1.7143 (PIL: 0.0579, Trans: 1.6564) | Src Acc: 99.98% | Tgt Acc: 64.20%
[2026-01-14 20:25:06] Epoch  770/1200 | Loss: 1.6956 (PIL: 0.0434, Trans: 1.6522) | Src Acc: 100.00% | Tgt Acc: 63.08%
[2026-01-14 20:25:20] Epoch  780/1200 | Loss: 1.7455 (PIL: 0.0749, Trans: 1.6706) | Src Acc: 99.97% | Tgt Acc: 65.20%
[2026-01-14 20:25:35] Epoch  790/1200 | Loss: 1.7882 (PIL: 0.0934, Trans: 1.6949) | Src Acc: 100.00% | Tgt Acc: 68.89%
[2026-01-14 20:25:51] Epoch  800/1200 | Loss: 1.7956 (PIL: 0.0920, Trans: 1.7037) | Src Acc: 99.96% | Tgt Acc: 66.18%
[2026-01-14 20:26:08] Epoch  810/1200 | Loss: 1.6844 (PIL: 0.0228, Trans: 1.6616) | Src Acc: 99.98% | Tgt Acc: 69.30%
[2026-01-14 20:26:22] Epoch  820/1200 | Loss: 1.7099 (PIL: 0.0379, Trans: 1.6719) | Src Acc: 99.93% | Tgt Acc: 65.82%
[2026-01-14 20:26:36] Epoch  830/1200 | Loss: 1.6869 (PIL: 0.0403, Trans: 1.6466) | Src Acc: 99.96% | Tgt Acc: 64.11%
[2026-01-14 20:26:50] Epoch  840/1200 | Loss: 1.7000 (PIL: 0.0368, Trans: 1.6632) | Src Acc: 99.93% | Tgt Acc: 64.35%
[2026-01-14 20:27:04] Epoch  850/1200 | Loss: 1.6659 (PIL: 0.0350, Trans: 1.6309) | Src Acc: 99.97% | Tgt Acc: 62.49%
