======================================================================
Experiment Log: CCAP-Net | dataset=ENTER | mode=cross-subject | sessions=[1]
Start Time: 2026-01-17 13:56:54
======================================================================


======================================================================
ENTER Session 1 Training Start
======================================================================
Training subject 1/50, Session 1, Dataset ENTER
[2026-01-17 14:14:32] Epoch  730/1200 | Loss: 4.8598 (PIL: 1.6958, Trans: 3.1641) | Src Acc: 64.06% | Tgt Acc: 41.33% | CDANcov: 5.0%
[2026-01-17 14:14:46] Epoch  740/1200 | Loss: 4.7565 (PIL: 1.6404, Trans: 3.1160) | Src Acc: 62.73% | Tgt Acc: 37.45% | CDANcov: 3.3%
[2026-01-17 14:15:00] Epoch  750/1200 | Loss: 4.7277 (PIL: 1.6693, Trans: 3.0583) | Src Acc: 64.39% | Tgt Acc: 44.69% | CDANcov: 7.2%
[2026-01-17 14:15:15] Epoch  760/1200 | Loss: 4.9371 (PIL: 1.7211, Trans: 3.2161) | Src Acc: 64.93% | Tgt Acc: 49.18% | CDANcov: 3.6%
[2026-01-17 14:15:28] Epoch  770/1200 | Loss: 4.9306 (PIL: 1.6597, Trans: 3.2709) | Src Acc: 62.67% | Tgt Acc: 45.21% | CDANcov: 4.6%
[2026-01-17 14:15:42] Epoch  780/1200 | Loss: 5.1698 (PIL: 1.7171, Trans: 3.4527) | Src Acc: 63.57% | Tgt Acc: 43.49% | CDANcov: 2.4%
[2026-01-17 14:15:56] Epoch  790/1200 | Loss: 4.9800 (PIL: 1.6400, Trans: 3.3400) | Src Acc: 65.23% | Tgt Acc: 41.85% | CDANcov: 4.2%
[2026-01-17 14:16:10] Epoch  800/1200 | Loss: 5.0260 (PIL: 1.7032, Trans: 3.3228) | Src Acc: 65.13% | Tgt Acc: 42.80% | CDANcov: 3.8%
[2026-01-17 14:16:24] Epoch  810/1200 | Loss: 5.0895 (PIL: 1.7540, Trans: 3.3355) | Src Acc: 63.28% | Tgt Acc: 38.48% | CDANcov: 5.0%
[2026-01-17 14:16:37] Epoch  820/1200 | Loss: 5.1173 (PIL: 1.6588, Trans: 3.4585) | Src Acc: 64.52% | Tgt Acc: 43.66% | CDANcov: 4.7%
[2026-01-17 14:16:51] Epoch  830/1200 | Loss: 4.9676 (PIL: 1.5934, Trans: 3.3743) | Src Acc: 63.72% | Tgt Acc: 38.74% | CDANcov: 3.9%
[2026-01-17 14:17:06] Epoch  840/1200 | Loss: 4.9860 (PIL: 1.6678, Trans: 3.3182) | Src Acc: 62.52% | Tgt Acc: 41.33% | CDANcov: 4.1%
[2026-01-17 14:17:20] Epoch  850/1200 | Loss: 5.2283 (PIL: 1.7329, Trans: 3.4954) | Src Acc: 63.59% | Tgt Acc: 44.18% | CDANcov: 1.6%
[2026-01-17 14:17:35] Epoch  860/1200 | Loss: 5.2787 (PIL: 1.6848, Trans: 3.5939) | Src Acc: 63.51% | Tgt Acc: 44.52% | CDANcov: 4.9%
[2026-01-17 14:17:49] Epoch  870/1200 | Loss: 5.2946 (PIL: 1.7430, Trans: 3.5516) | Src Acc: 61.93% | Tgt Acc: 44.95% | CDANcov: 6.3%
[2026-01-17 14:18:04] Epoch  880/1200 | Loss: 5.2564 (PIL: 1.7317, Trans: 3.5246) | Src Acc: 65.75% | Tgt Acc: 44.87% | CDANcov: 3.0%
[2026-01-17 14:18:19] Epoch  890/1200 | Loss: 5.1201 (PIL: 1.6525, Trans: 3.4676) | Src Acc: 65.29% | Tgt Acc: 44.00% | CDANcov: 4.1%
[2026-01-17 14:18:33] Epoch  900/1200 | Loss: 5.3214 (PIL: 1.6628, Trans: 3.6586) | Src Acc: 64.60% | Tgt Acc: 46.25% | CDANcov: 7.6%
